ID,Name,Description,Quantity,Unit Value,Total Value,Category,Location,Inventory Type ID,Parent Item ID,Barcode,Reorder Point,manufacturer,casing,roundCount,grainWeight,cartridgeType,caliber,reticleType,magnification,mountType,eyeRelief,batteryType,weight,accessoryType,activationMethod,condition,serialNumber,barrelLength,action,triggerPull,frame,ID,Total Value,Inventory Type ID,Parent Item ID,lumens,candela,beamDistance,runtime,Created At,Updated At,Created At,Updated At
47,6.5 Creedmoor Subsonic,"Engineered for quiet performance and precise shot placement, this purpose-built subsonic 6.5 Creedmoor load is designed to deliver consistent results while operating below the speed of sound. Loaded with the Hornady 140 gr ELD-M at approximately 1,050 feet per second, it significantly reduces acoustic signature when paired with a suppressor by eliminating the supersonic crack.

Each cartridge is built using premium American-made components and assembled to SAAMI dimensions for reliable chambering and magazine compatibility, including standard .308-pattern magazines such as PMAGs and AR-10 platforms. Stability and accuracy are optimized in barrels with a 1:8″ twist rate or faster, producing consistent performance beyond 100 yards.

This non-cycling load is tailored for bolt-action rifles and is well suited for predator control, suppressed training, low-recoil marksmanship, and other sound-sensitive applications. By trading supersonic velocity for stealth, control, and repeatable accuracy, it offers a refined shooting experience with manageable recoil and excellent shot-to-shot consistency.",5,39.99,199.95000000000002,Centerfire Rifle,,3,,,1,Chalk 1 ,Brass,20,140,SP,6.5 Creedmoor,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11T19:58:51.518Z,2026-03-11T21:36:43.861Z
37,Holosun 507COMP - Green,"507Comp-RD/507Comp-GR handgun sight features a large 1.1” x 0.87” objective lens for enhanced shooting performance and Holosun’s new Competition Reticle System (CRS) with Holosun’s 650nm Red/540nm Green Super LED and up to 50k hour battery life with a 1632 cell.image

CRS is an enhanced multi-reticle system with four components including a precision 2MOA dot, an 8MOA circle, 20MOA circle, and 32MOA circle with multiple combination settings to suit individual shooter preference.  507Comp-RD/507Comp-GR is made from 7075 aluminum with an industry standard footprint, and includes Shake Awake technology

Shake Awake Technology is a standard feature on all current model Holosun optics and serves to extend battery life by deactivating the optic’s LED while not in use. A highly sensitive motion sensor works to detect motion keeping the LED powered on during use. This allows for duty or concealed carry with seamless operation throughout your day or shift. At the end of your day or shift when your firearm is stored, the motion sensor will detect a motionlessness state and after 10 minutes (default setting) Shake Awake Technology powers the LED off until motion is again detected. Shake Awake offers settings from 10 minutes to 12 hours depending on the model and can be deactivated altogether if preferred. The slightest touch of the optic instantly reactivates the LED so your Holosun optic is ready when needed.",1,474.98,474.98,Red Dots,,332,36,,0,Holosun,,,,,,Green Dot,2 MOA Dot,RMR Footprint,Unlimited,CR1632,1.7oz,,,,,,,,,,,,,,,,,,,2026-03-10T18:46:49.976Z,2026-03-10T18:46:49.976Z
54,Holosun EPS Carry Green MRS,,1,505.87,505.87,Optics,,332,53,,0,Holosun,,,,,,Green Dot,2 MOA,RMR Footprint,,CR1620,1oz,Optic,Constant,New,,,,,,,,,,,,,,,,2026-03-12T00:34:13.323Z,2026-03-12T00:34:13.323Z
38,Holosun HE509T Optic,"The HE509T-RD X2 is a hard-use, nitrogen-purged enclosed LED sight designed for handgun applications. The HE509T-RD X2features a grade 5 titanium housing, Holosun’s Super LED with up to 50k hour battery life, Multi-Reticle System, Solar Failsafe, and Shake Awake technology.

The X2 version adds improved glass clarity, Lock Mode, and a full Multi-Reticle System providing 2MOA dot only, 32MOA Circle only, or a Circle-Dot combination. HE509T-RD X2 includes an adapter plate for compatibility with rmr-style footprints. HE509T-RD X2 feature 12 intensity settings, two of which are compatible with night vision devices.",1,589.94,589.94,Red Dots,,332,35,,0,Holosun,,,,,,Green Dot,2 MOA,RMR Foot Print,,CR1632,1.72oz,Optic,,,,,,,,,,,,,,,,,,2026-03-10T18:53:03.292Z,2026-03-10T21:55:59.069Z
43,Holosun HS507C X2,"The HS507C X2 is an open reflex optical sight designed for full-sized pistol applications. The HS507C X2 improves on previous versions by adding Lock Mode which was first introduced in our 2018 LEM pistol optic models. Lock Mode, when activated, locks the buttons preventing inadvertent setting changes.

Additional features include Holosun’s Red Super LED with up to 50k hour battery life, Solar Failsafe, Multi-Reticle System, and Shake Awake. The durable housing is made from 7075 Aluminum, uses an industry standard footprint, and houses the 1632 battery in a side-mounted tray for easy replacement when needed.",1,364.99,364.99,Optics,,332,42,,0,Holosun,,,,,,Red Dot,,RMR Footprint,,1632,1.5,Optic,Constant,New,,,,,,,,,,,,,,,,2026-03-11T01:53:08.812Z,2026-03-11T01:53:08.812Z
45,Holosun Iris-GR4,"The Holosun IRIS-GR4 is a quad-function weapon-mounted aiming and illumination system — essentially a high-end laser/light combo unit for rifles. Here's what it packs:

Four Functions (that's the ""4"" in the name):

* **Visible green laser** — 5mW Class 3R aiming laser for daylight use
* **IR aiming laser** — 0.7mW Class 1, for use with night vision devices (NVDs)
* **IR illuminator** — 60mW VCSEL-based flood/spot illuminator for NVD use
* **White light** — 1,000 lumens / 25,000 candela LED",1,1176.46,1176.46,Lasers,,332,,,0,Holosun,,,,,,,,Picatinny ,,,,Laser,Momentary/Constant,New,,,,,,,,,,,,,,,,2026-03-11T08:58:15.517Z,2026-03-11T16:12:08.531Z
53,PSA 5.7 Rock,"The PSA 5.7 Rock RK1 is Palmetto State Armory's top-tier configuration of their already impressive 5.7 Rock platform — and it delivers serious performance at a price point that puts its competitors to shame. Chambered in 5.7x28mm with a 23+1 capacity, it edges out the FN Five-seveN by three rounds while costing a fraction of the price. The RK1 builds on the standard Rock with a 5.2"" fluted, threaded carbon steel barrel (1/2x28 TPI) ready for suppressor or muzzle device use, a Cerakote-finished 416 stainless steel slide, and the signature RK1 milled vent windows on both sides of the slide — reducing weight while giving the pistol a distinctly aggressive, tactical look. The delayed blowback striker-fired action delivers a crisp ~3.5 lb trigger pull with a short, audible reset, and the whole package weighs in at just 25 oz empty.",1,549,1054.87,Handguns,,2,,,0,Palmetto State Armory,,,,,5.7x28mm,,,,,,25oz,,,New,RK018245,"5.2""",Semi-Automatic,3.5lbs,Polymer,,,,,,,,,,,2026-03-12T00:30:55.038Z,2026-03-12T00:30:55.038Z
41,SMSLaser HFXC,"The SMSLaser HFXC is a 4-in-1, aluminum-bodied laser/illuminator combo featuring 1,000 lumens, an IR laser and an IR illuminator. It is a, budget-friendly, $250-range device with a side-by-side design that uses a single 18650 battery and features a Weaver/Picatinny mount.",1,215,215,Lasers,,332,,,0,,,,,,,,,,,,,Laser,,,,,,,,,,,,,,,,,,2026-03-10T21:54:55.683Z,2026-03-11T15:57:02.689Z
51,Springfield Armory Hellcat Pro,"Combining the performance of a larger handgun with class-leading concealability and capacity, the Hellcat® Pro is a compact pistol chambered in 9mm that offers 15+1 capacity in a smaller footprint than any other gun in its class. Further enhancing that capacity the Hellcat Pro ships with an all new 17-round extended magazine giving shooters the ability to carry in their preferred configuration. Optics ready and equipped with a versatile accessory rail and hammer forged barrel, this exceptional everyday carry pistol delivers the perfect balance.",1,670,1219.99,Handguns,,2,,,0,Springfield Armory,,,,,9mm,,,,,,21oz,,,New,BF378536,"3.7""",Semi-Automatic,5.4lbs,Polymer,,,,,,,,,,,2026-03-12T00:04:24.780Z,2026-03-12T00:04:24.780Z
35,Staccato CS,"The **Staccato CS** is the smallest pistol in Staccato's lineup, designed specifically for concealed carry while still delivering the premium 2011-platform feel the brand is known for.

**Platform & Frame**
Built on the 2011 double-stack 1911 platform, the CS features an aluminum frame (vs. the steel frames on larger models), which keeps weight down. It's a compact/subcompact hybrid — shorter grip than the C, but wider than a traditional single-stack.",1,2749,3533.58,Handguns,,2,,,0,Staccato,,,,,9mm,,,,,,23oz,,,New,CS24 9747,"3.5""",Semi-Automatic,4.0lbs,Aluminum,34,2749,2,,,,,,2026-03-10T00:47:16.225Z,2026-03-10T00:47:16.225Z,2026-03-10T18:35:34.243Z,2026-03-11T23:51:47.780Z
