ID,Name,Description,Quantity,Unit Value,Total Value,Category,Location,Inventory Type ID,Parent Item ID,Barcode,Reorder Point,manufacturer,casing,roundCount,grainWeight,cartridgeType,caliber,serialNumber,barrelLength,action,frame,weight,condition,triggerPull,reticleType,magnification,mountType,eyeRelief,batteryType,accessoryType,activationMethod,runtime,objectiveLens,ID,Total Value,Inventory Type ID,Parent Item ID,lumens,candela,beamDistance,Created At,Updated At,Created At,Updated At
47,6.5 Creedmoor Subsonic,"Engineered for quiet performance and precise shot placement, this purpose-built subsonic 6.5 Creedmoor load is designed to deliver consistent results while operating below the speed of sound. Loaded with the Hornady 140 gr ELD-M at approximately 1,050 feet per second, it significantly reduces acoustic signature when paired with a suppressor by eliminating the supersonic crack.

Each cartridge is built using premium American-made components and assembled to SAAMI dimensions for reliable chambering and magazine compatibility, including standard .308-pattern magazines such as PMAGs and AR-10 platforms. Stability and accuracy are optimized in barrels with a 1:8″ twist rate or faster, producing consistent performance beyond 100 yards.

This non-cycling load is tailored for bolt-action rifles and is well suited for predator control, suppressed training, low-recoil marksmanship, and other sound-sensitive applications. By trading supersonic velocity for stealth, control, and repeatable accuracy, it offers a refined shooting experience with manageable recoil and excellent shot-to-shot consistency.",5,39.99,199.95000000000002,Centerfire Rifle,,3,,,1,Chalk 1 ,Brass,20,140,SP,6.5 Creedmoor,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11T19:58:51.518Z,2026-03-11T21:36:43.861Z
66,Browning BDA-380,"The BDA-380 has one of the more interesting manufacturing pedigrees in the pistol world — it's a gun with three companies' names on it simultaneously.

The FN 140DA was a semi-automatic weapon manufactured by Beretta of Italy on behalf of FN Herstal of Belgium, and sold as the Browning BDA 380 in the United States and Canada. Production started in 1976, replacing the FN 1922/Browning 125 in the company's lineup.",1,900,900,Handguns,,2,,,0,Fabrique National Herstal,,,,,.380 ACP,22086,"3.8""",Semi-Automatic,Steel,23oz,New,,,,,,,,,,,,,,,,,,,,2026-03-12T03:25:30.788Z,2026-03-12T03:25:30.788Z
63,Canik TTI Combat,"The TTI Combat is a 2024 collaboration between Canik (manufactured by Samsun Yurt Savunma / SYS Industry in Turkey, imported by Century Arms) and Taran Butler, founder of Taran Tactical Innovations (TTI) — the custom shop famous for building the competition and stunt guns featured in the John Wick film series and training Hollywood celebrities and competitive shooters worldwide.

The project was two years in development, with Butler personally redesigning the frame, grip geometry, trigger, and feature set from the ground up. It represents Canik's first factory-compensated pistol and their highest-profile outside collaboration to date. The result is a full-feature competition/race gun package for under $1,000 — well below what a TTI custom pistol would traditionally cost ($2,000–$4,000+).

The TTI Combat's action is based on a simplified version of the Walther P99's action, which has been the DNA of Canik's striker-fired line throughout. Think of it as a fully TTI-specced Canik METE SFx platform rebuilt to Butler's competition specifications.",1,950,1420,Handguns,,2,,,0,Canik,,,,,9mm,24CZ55035,"4.6"" ported and spiral-fluted",Semi-Automatic,Polymer,29.5oz,New,3.8lbs,,,,,,,,,,,,,,,,,,,2026-03-12T02:57:19.753Z,2026-03-12T03:02:10.343Z
59,FN 509 Tactical,"The FN 509 Tactical is a full-size, striker-fired 9mm pistol built by FN America in Columbia, South Carolina, and born directly from FN Herstal's entry into the U.S. Army's Modular Handgun System competition — a program that put over one million rounds through the platform before it ever reached the commercial market. At its core is a 4.5-inch cold hammer-forged stainless steel barrel with a 1/2x28 threaded muzzle, the same manufacturing process FN uses on military-grade barrels, paired with suppressor-height tritium night sights that co-witness with the optics system. The polymer frame features aggressive texturing, interchangeable backstraps, and fully ambidextrous controls throughout, while the stainless slide wears a ferritic nitrocarburizing finish and deep front and rear serrations for positive manipulation under any conditions.",1,950,1199,Handguns,,2,,,0,FN Herstal,,,,,9mm,GKS0278419,"4.5""",Semi-Automatic,Polymer,27oz,Like New,6lb,,,,,,,,,,,,,,,,,,,2026-03-12T02:33:17.179Z,2026-03-12T02:42:57.658Z
62,FN FNX-45 Tactical,"The FN FNX-45 Tactical is a full-size, hammer-fired DA/SA pistol chambered in .45 ACP, built by FN America in Columbia, South Carolina and born directly from FN Herstal's submission to the U.S. Military's Joint Combat Pistol Program. Released to the commercial market in 2012, it pioneered the modern tactical pistol package — shipping from the factory with a 5.3-inch cold hammer-forged threaded barrel (0.578x28 TPI), a factory-milled optics-ready slide, suppressor-height Trijicon tritium night sights, and three 15-round magazines, a combination no other manufacturer was offering at the time. The stainless steel slide sits atop an aggressively textured polymer frame with four interchangeable backstraps, a low bore axis for reduced muzzle flip, and a MIL-STD-1913 Picatinny rail for lights and lasers. At 33.3 ounces and 8.6 inches overall, this is a purpose-built duty, home defense, and suppressor host — not a carry gun.",1,1394,1643,Handguns,,2,,,0,FN Herstal,,,,,.45 ACP,FX3U200750,"5.3""",Semi-Automatic,Polymer,,New,5-12lbs (DA vs SA),,,,,,,,,,,,,,,,,,,2026-03-12T02:47:59.947Z,2026-03-12T02:48:22.908Z
37,Holosun 507COMP - Green,"507Comp-RD/507Comp-GR handgun sight features a large 1.1” x 0.87” objective lens for enhanced shooting performance and Holosun’s new Competition Reticle System (CRS) with Holosun’s 650nm Red/540nm Green Super LED and up to 50k hour battery life with a 1632 cell.image

CRS is an enhanced multi-reticle system with four components including a precision 2MOA dot, an 8MOA circle, 20MOA circle, and 32MOA circle with multiple combination settings to suit individual shooter preference.  507Comp-RD/507Comp-GR is made from 7075 aluminum with an industry standard footprint, and includes Shake Awake technology

Shake Awake Technology is a standard feature on all current model Holosun optics and serves to extend battery life by deactivating the optic’s LED while not in use. A highly sensitive motion sensor works to detect motion keeping the LED powered on during use. This allows for duty or concealed carry with seamless operation throughout your day or shift. At the end of your day or shift when your firearm is stored, the motion sensor will detect a motionlessness state and after 10 minutes (default setting) Shake Awake Technology powers the LED off until motion is again detected. Shake Awake offers settings from 10 minutes to 12 hours depending on the model and can be deactivated altogether if preferred. The slightest touch of the optic instantly reactivates the LED so your Holosun optic is ready when needed.",1,474.98,474.98,Red Dots,,332,36,,0,Holosun,,,,,,,,,,1.7oz,,,Green Dot,2 MOA Dot,RMR Footprint,Unlimited,CR1632,,,,,,,,,,,,,,2026-03-10T18:46:49.976Z,2026-03-10T18:46:49.976Z
54,Holosun EPS Carry Green MRS,,1,505.87,505.87,Optics,,332,53,,0,Holosun,,,,,,,,,,1oz,New,,Green Dot,2 MOA,RMR Footprint,,CR1620,Optic,Constant,,,,,,,,,,,,2026-03-12T00:34:13.323Z,2026-03-12T00:34:13.323Z
64,Holosun HE507COMP-GR,"The 507COMP line debuted at SHOT Show 2023 and was purpose-built for competition pistol shooting — not carry, not duty. The ""COMP"" designation signals the design priority: an oversized window for maximum dot acquisition speed, a multi-circle reticle system borrowed from competition optics like the Trijicon SRO, and a price point that undercuts those rivals significantly. The HE507COMP-GR is the Elite (HE) green LED variant of that platform.

It's widely seen as Holosun's direct answer to the Trijicon SRO, offering a comparable large window and multi-reticle system at roughly half the price.",1,470,470,Optics,,332,63,,0,Holosun,,,,,,,,,,1.2oz,New,,Green Dot,2 MOA,RMR Footprint,,CR1632,Optic,Constant,"50,000 hurs","1.1"" x 0.87""",,,,,,,,,,2026-03-12T02:58:32.404Z,2026-03-12T03:02:10.342Z
38,Holosun HE509T Optic,"The HE509T-RD X2 is a hard-use, nitrogen-purged enclosed LED sight designed for handgun applications. The HE509T-RD X2features a grade 5 titanium housing, Holosun’s Super LED with up to 50k hour battery life, Multi-Reticle System, Solar Failsafe, and Shake Awake technology.

The X2 version adds improved glass clarity, Lock Mode, and a full Multi-Reticle System providing 2MOA dot only, 32MOA Circle only, or a Circle-Dot combination. HE509T-RD X2 includes an adapter plate for compatibility with rmr-style footprints. HE509T-RD X2 feature 12 intensity settings, two of which are compatible with night vision devices.",1,589.94,589.94,Red Dots,,332,35,,0,Holosun,,,,,,,,,,1.72oz,,,Green Dot,2 MOA,RMR Foot Print,,CR1632,Optic,,,,,,,,,,,,,2026-03-10T18:53:03.292Z,2026-03-10T21:55:59.069Z
43,Holosun HS507C X2,"The HS507C X2 is an open reflex optical sight designed for full-sized pistol applications. The HS507C X2 improves on previous versions by adding Lock Mode which was first introduced in our 2018 LEM pistol optic models. Lock Mode, when activated, locks the buttons preventing inadvertent setting changes.

Additional features include Holosun’s Red Super LED with up to 50k hour battery life, Solar Failsafe, Multi-Reticle System, and Shake Awake. The durable housing is made from 7075 Aluminum, uses an industry standard footprint, and houses the 1632 battery in a side-mounted tray for easy replacement when needed.",1,364.99,364.99,Optics,,332,42,,0,Holosun,,,,,,,,,,1.5,New,,Red Dot,,RMR Footprint,,1632,Optic,Constant,,,,,,,,,,,,2026-03-11T01:53:08.812Z,2026-03-11T01:53:08.812Z
